revenue,budget,Prediction Score
91379051.0,19000000.0,4
72178895.0,110000000.0,4
139000000.0,35000000.0,7
24464742.0,2000000.0,0
43165571.0,17000000.0,10
5483299.0,5500000.0,0
31430334.0,7000000.0,0
23000000.0,5900000.0,0
25052000.0,63000000.0,10
17709155.0,22000000.0,0
8555008.0,28000000.0,0
22179430.0,2000000.0,0
14900000.0,5980000.0,0
700000.0,18000.0,0
35619521.0,10200000.0,10
1118888979.0,94000000.0,5
25000000.0,9000000.0,0
40492759.0,16000000.0,10
3031801.0,4361898.0,0
24527158.0,21000000.0,10
170000000.0,35000000.0,7
16838910.0,35000000.0,10
40400657.0,28000000.0,10
36609995.0,24000000.0,10
5887457.0,18000000.0,0
36133014.0,18000000.0,10
23237911.0,11500000.0,0
36000000.0,4000000.0,10
48814909.0,32000000.0,10
21665468.0,2000000.0,0
6278139.0,25000000.0,0
37141130.0,60000000.0,10
4634062.0,20000000.0,0
3877492.0,3200000.0,0
295206.0,5000000.0,0
14560084.0,7920000.0,0
44349000.0,4000000.0,10
1108561013.0,200000000.0,5
33013805.0,30000000.0,10
392616625.0,37000000.0,2
18340000.0,11930000.0,0
300473716.0,31000000.0,9
205298907.0,38000000.0,9
448000000.0,150000000.0,8
964206.0,2800000.0,0
3430018.0,12700000.0,0
31148328.0,30000000.0,10
378858340.0,150000000.0,2
219417255.0,60000000.0,9
160602194.0,50000000.0,7
622806.0,2000000.0,0
5844868.0,6000000.0,0
47542841.0,13000000.0,10
2415472.0,25500000.0,0
9221.0,4000000.0,0
79700000.0,40000000.0,4
201596308.0,90000000.0,9
4350774.0,9000000.0,0
176153.0,74050.0,0
124305181.0,48000000.0,7
2250547.0,1050255.0,0
1296971.0,1000000.0,0
20000000.0,11000000.0,0
407602906.0,180000000.0,2
65046687.0,4000000.0,10
54744738.0,94000000.0,10
55675257.0,4000000.0,10
5333333.0,1333333.0,0
52395996.0,25000000.0,10
46471023.0,40000000.0,10
119946358.0,42000000.0,4
49002684.0,12500000.0,10
20719451.0,25000000.0,10
31000000.0,4700000.0,0
4001121.0,20000000.0,0
5500000.0,200000.0,0
119723358.0,38000000.0,4
1000000.0,5000000.0,0
1246141.0,7000000.0,0
13008928.0,4000000.0,0
17273593.0,10000000.0,0
478207520.0,110000000.0,8
13196245.0,11000000.0,0
33956608.0,60000000.0,10
6582052.0,13000000.0,0
54956140.0,20000000.0,10
44350926.0,36000000.0,10
3010.0,3000000.0,0
55247881.0,40000000.0,10
615816.0,3500000.0,0
109676311.0,40000000.0,4
7800000.0,1000000.0,0
16478900.0,50000000.0,10
2900000.0,2000000.0,0
24793509.0,6500000.0,0
6819587.0,20000000.0,0
444575.0,1000000.0,0
302710615.0,45000000.0,2
95404397.0,37000000.0,4
1196307.0,18000000.0,0
125212904.0,15000000.0,4
12633747.0,6500000.0,0
566736.0,6500000.0,0
5926410.0,15000000.0,0
17436509.0,20000000.0,0
349424282.0,127000000.0,2
48027970.0,6000000.0,10
187716.0,1500000.0,0
224012234.0,75000000.0,9
16951798.0,11000000.0,0
27092880.0,4500000.0,0
61000000.0,26000000.0,10
16809014.0,45000000.0,10
224803475.0,50000000.0,9
11293663.0,12000000.0,0
6108720.0,9000000.0,0
211780824.0,65000000.0,9
17137302.0,30000000.0,10
124731534.0,40000000.0,7
25000000.0,2883848.0,0
258270008.0,75000000.0,9
254455986.0,80000000.0,9
1104682.0,4000000.0,0
310669540.0,200000000.0,2
490475.0,100000.0,0
638641.0,6244087.0,0
10589102.0,25000000.0,0
37597471.0,20000000.0,10
574480841.0,110000000.0,8
13674.0,7300.0,0
140795793.0,35000000.0,7
244931766.0,40000000.0,9
8586376.0,20000000.0,0
68688831.0,100000000.0,4
155446362.0,50000000.0,7
62771059.0,40000000.0,4
69821334.0,8000000.0,4
39041505.0,70000000.0,10
698200.0,64200.0,0
17080167.0,15000000.0,0
24078196.0,6000000.0,0
13000000.0,8376800.0,0
71009334.0,25000000.0,4
38505009.0,23000000.0,10
116672912.0,70000000.0,7
49620.0,2300000.0,0
71625195.0,17000000.0,4
25533818.0,2500000.0,0
106260000.0,8000000.0,4
15179302.0,5000000.0,0
197309027.0,85000000.0,9
15304890.0,35000000.0,10
42285169.0,75000000.0,10
9489829.0,55000000.0,10
7000000.0,1200000.0,0
58853106.0,4500000.0,10
9800000.0,4000000.0,0
48065672.0,13000000.0,10
24377151.0,16000000.0,0
30925690.0,40000000.0,10
17287898.0,22000000.0,0
51132598.0,30000000.0,10
16093651.0,8000000.0,0
21300000.0,4550000.0,0
2760000.0,750000.0,0
117224271.0,20000000.0,4
97542952.0,17000000.0,4
48298.0,1089360.0,0
500000.0,500000.0,0
4460000.0,1950000.0,0
15369573.0,3000000.0,0
60052138.0,60000000.0,4
4069653.0,11500000.0,0
361366633.0,60000000.0,2
4627375.0,15000000.0,0
25224242.0,35000000.0,10
138259062.0,40000000.0,7
22238696.0,35000000.0,10
22593409.0,8000000.0,0
1574623.0,1000000.0,0
296339527.0,75000000.0,2
4250000.0,5940000.0,0
33965843.0,2000000.0,0
2841000.0,1243000.0,0
8786375.0,15000000.0,0
352810.0,2500000.0,0
26414658.0,5500000.0,0
742898.0,5000000.0,0
296557.0,2900000.0,0
135130999.0,30000000.0,7
63464861.0,8000000.0,10
1500000.0,10000000.0,0
176885658.0,80000000.0,7
15014674.0,2500000.0,0
82701.0,900000.0,0
25105255.0,35000000.0,10
157387195.0,53000000.0,7
228738393.0,110000000.0,9
76270454.0,25000000.0,4
57814445.0,30000000.0,10
22222308.0,20000000.0,10
9771658.0,35000000.0,0
119208989.0,50000000.0,4
122513057.0,14800000.0,4
285444603.0,140000000.0,2
13555988.0,22000000.0,0
84772742.0,22000000.0,4
500188435.0,103000000.0,8
1258000.0,810000.0,0
54418872.0,5000000.0,10
39143839.0,20000000.0,10
25504513.0,1800000.0,0
14743391.0,645180.0,0
75700498.0,15000000.0,4
294804195.0,80000000.0,2
84606030.0,35000000.0,4
346147658.0,85000000.0,2
65565672.0,62000000.0,4
24829644.0,12000000.0,0
2556911.0,6400000.0,0
4270000.0,967686.0,0
1381665.0,12000000.0,0
374218673.0,150000000.0,2
87840042.0,40000000.0,4
162944923.0,80000000.0,7
